CandidateID,Education,Experience,Skills,AptitudeScore,TechnicalScore,CommunicationScore,Suitable
1,PhD,1,HTML,55,54,48,0
2,PhD,1,AI;Java;JavaScript,42,41,45,0
3,Bachelor,3,Data Science;Python;SQL,85,81,84,1
4,PhD,6,ML,77,57,91,1
5,Bachelor,2,JavaScript;CSS;HTML,49,53,88,0
6,Master,1,JavaScript,46,62,94,0
7,Master,9,Python;ML,74,47,99,1
8,Master,1,HTML;CSS;SQL,85,44,42,0
9,PhD,3,Java;SQL,95,46,64,1
10,Master,7,CSS;C++;Data Science,62,53,82,1
11,Master,10,Java;C++;SQL,50,69,64,0
12,Master,10,AI;SQL;CSS,93,89,89,1
13,Bachelor,3,CSS,65,57,44,0
14,Bachelor,9,CSS;SQL;ML,65,96,98,1
15,PhD,7,HTML,48,55,87,0
16,PhD,8,Data Science;JavaScript,97,77,65,1
17,Master,3,AI,71,45,88,1
18,Bachelor,1,C++,90,83,67,0
19,PhD,1,JavaScript;ML,73,56,75,0
20,Bachelor,10,Java;AI;HTML,89,81,61,1
21,Bachelor,4,C++;ML,40,86,96,1
22,PhD,4,C++;AI;Java,95,80,59,1
23,PhD,8,SQL;C++;CSS,88,50,74,1
24,PhD,0,CSS;ML;Python,47,99,63,0
25,Master,3,SQL,96,76,100,1
26,Bachelor,1,ML;Java;C++,48,82,70,0
27,PhD,2,AI;JavaScript,53,99,74,1
28,PhD,3,HTML;JavaScript;CSS,68,97,73,1
29,Master,1,SQL,44,61,41,0
30,PhD,8,Data Science,54,40,44,0
31,PhD,10,SQL,44,97,42,0
32,Master,1,SQL;HTML;ML,53,74,48,0
33,PhD,9,ML;SQL;Data Science,91,66,52,1
34,Bachelor,1,JavaScript;CSS;Data Science,66,69,95,0
35,PhD,0,Java;Python;JavaScript,86,61,91,0
36,Bachelor,3,SQL,74,68,48,0
37,Master,2,ML;SQL,95,99,44,1
38,Master,8,Python,81,74,93,1
39,Bachelor,1,C++,66,71,70,0
40,Bachelor,6,C++,64,40,64,0
41,Master,7,JavaScript;AI,82,85,71,1
42,Bachelor,3,SQL;Python,77,87,74,1
43,Bachelor,5,Python,77,70,72,1
44,PhD,2,AI,45,94,51,0
45,Bachelor,9,SQL,65,47,100,1
46,PhD,3,Data Science;Python;Java,66,82,77,1
47,PhD,8,HTML;SQL,82,85,60,1
48,Bachelor,4,C++;HTML,69,60,99,1
49,Bachelor,0,Data Science;Java,44,74,53,0
50,PhD,4,CSS,96,44,96,1
51,Bachelor,5,C++;ML,93,74,85,1
52,Master,9,AI;Python;HTML,99,82,46,1
53,Bachelor,4,Java,87,75,49,1
54,Master,4,SQL;CSS;Data Science,83,80,94,1
55,Master,8,HTML;Python,45,80,67,0
56,Master,0,CSS,89,48,80,0
57,Master,2,ML;AI;JavaScript,75,40,47,0
58,Bachelor,2,Python;CSS;C++,67,48,42,0
59,Master,5,CSS,53,83,55,0
60,PhD,1,AI;JavaScript,79,87,49,0
61,Bachelor,2,JavaScript,41,51,87,0
62,Master,6,SQL;HTML;C++,90,84,46,1
63,Master,0,SQL;Data Science,92,98,69,0
64,Master,4,SQL,41,82,52,0
65,Master,5,Java;HTML,62,81,72,1
66,Master,10,CSS;Python;Java,96,56,51,1
67,PhD,4,Java,78,67,62,1
68,PhD,5,Data Science;AI,47,64,97,1
69,PhD,3,Python;JavaScript,40,73,99,1
70,PhD,10,SQL;CSS;JavaScript,44,100,82,1
71,Master,9,Java;HTML,72,59,82,1
72,Master,5,HTML;AI,48,52,66,0
73,PhD,6,C++;HTML;JavaScript,75,93,40,1
74,Master,4,JavaScript,90,77,78,1
75,PhD,5,ML;Data Science,83,53,72,1
76,Master,2,Java;HTML;CSS,45,92,100,1
